909.48,1128.67,0.0
909.486,1128.67,0.0,50.0
909.492,1128.67,0.0,50.0
909.5,1128.67,0.0,50.0
909.522,1128.67,0.0,50.0
909.57,1128.67,0.0,50.0
909.636,1128.67,0.0,50.0
909.72,1128.67,0.0,50.0
909.86,1128.67,0.0,50.0
909.986,1128.67,0.0,50.0
910.13,1128.67,0.0,50.0
910.292,1128.67,0.0,50.0
910.472,1128.67,0.0,50.0
910.669,1128.67,0.0,50.0
910.885,1128.67,0.0,50.0
911.201,1128.67,0.0,50.0
911.459,1128.67,0.0,50.0
911.735,1128.67,0.0,50.0
912.029,1128.67,0.0,50.0
912.34,1128.67,0.0,50.0
912.667,1128.67,0.0,50.0
913.011,1128.67,0.0,50.0
913.497,1128.67,0.0,50.0
913.882,1128.67,0.0,50.0
914.284,1128.68,0.0,50.0
914.703,1128.68,0.0,50.0
915.139,1128.68,0.0,50.0
915.747,1128.69,0.0,50.0
916.223,1128.69,0.0,50.0
916.715,1128.69,0.0,50.0
917.225,1128.7,0.0,50.0
917.752,1128.71,0.0,50.0
918.481,1128.73,0.0,50.0
919.048,1128.74,0.0,50.0
919.632,1128.76,0.0,50.0
920.233,1128.78,0.0,50.0
920.851,1128.8,0.0,50.0
921.701,1128.84,0.0,50.0
922.358,1128.86,0.0,50.0
923.033,1128.89,0.0,50.0
923.725,1128.92,0.0,50.0
924.434,1128.96,0.0,50.0
925.159,1129,0.0,50.0
925.902,1129.04,0.0,50.0
926.662,1129.08,0.0,50.0
927.438,1129.12,0.0,50.0
928.232,1129.17,0.0,50.0
929.042,1129.21,0.0,50.0
929.868,1129.27,0.0,50.0
930.712,1129.32,0.0,50.0
931.572,1129.37,0.0,50.0
932.154,1129.41,0.0,50.0
933.042,1129.47,0.0,50.0
933.946,1129.53,0.0,50.0
934.867,1129.6,0.0,50.0
935.805,1129.66,0.0,50.0
936.759,1129.73,0.0,50.0
937.404,1129.78,0.0,50.0
938.386,1129.85,0.0,50.0
939.383,1129.91,0.0,50.0
940.395,1129.99,0.0,50.0
941.079,1130.04,0.0,50.0
942.117,1130.12,0.0,50.0
943.17,1130.2,0.0,50.0
943.88,1130.26,0.0,50.0
944.959,1130.35,0.0,50.0
946.052,1130.45,0.0,50.0
946.789,1130.52,0.0,50.0
947.907,1130.63,0.0,50.0
948.66,1130.7,0.0,50.0
949.801,1130.82,0.0,50.0
950.957,1130.95,0.0,50.0
951.735,1131.03,0.0,50.0
952.915,1131.17,0.0,50.0
954.108,1131.31,0.0,50.0
954.913,1131.4,0.0,50.0
956.129,1131.55,0.0,50.0
956.947,1131.65,0.0,50.0
958.186,1131.81,0.0,50.0
959.018,1131.92,0.0,50.0
960.279,1132.08,0.0,50.0
961.125,1132.19,0.0,50.0
962.406,1132.37,0.0,50.0
963.699,1132.55,0.0,50.0
964.567,1132.67,0.0,50.0
965.877,1132.86,0.0,50.0
966.752,1132.99,0.0,50.0
967.623,1133.12,0.0,50.0
968.933,1133.32,0.0,50.0
969.8,1133.45,0.0,50.0
971.102,1133.66,0.0,50.0
972.401,1133.88,0.0,50.0
973.269,1134.02,0.0,50.0
974.137,1134.18,0.0,50.0
975.436,1134.42,0.0,50.0
976.3,1134.59,0.0,50.0
977.162,1134.76,0.0,50.0
978.454,1135.02,0.0,50.0
979.312,1135.21,0.0,50.0
980.174,1135.4,0.0,50.0
981.46,1135.69,0.0,50.0
982.314,1135.9,0.0,50.0
983.596,1136.21,0.0,50.0
984.45,1136.43,0.0,50.0
985.301,1136.65,0.0,50.0
986.574,1136.99,0.0,50.0
987.422,1137.23,0.0,50.0
988.269,1137.47,0.0,50.0
989.537,1137.84,0.0,50.0
990.382,1138.09,0.0,50.0
991.227,1138.35,0.0,50.0
992.486,1138.74,0.0,50.0
993.326,1139.01,0.0,50.0
994.164,1139.28,0.0,50.0
995.002,1139.56,0.0,50.0
996.257,1139.97,0.0,50.0
997.095,1140.26,0.0,50.0
997.93,1140.55,0.0,50.0
998.762,1140.84,0.0,50.0
1000.01,1141.29,0.0,50.0
1000.84,1141.58,0.0,50.0
1001.67,1141.88,0.0,50.0
1002.5,1142.19,0.0,50.0
1003.34,1142.49,0.0,50.0
1004.58,1142.96,0.0,50.0
1005.4,1143.27,0.0,50.0
1006.23,1143.58,0.0,50.0
1007.47,1144.06,0.0,50.0
1008.29,1144.38,0.0,50.0
1009.12,1144.69,0.0,50.0
1009.94,1145.01,0.0,50.0
1010.76,1145.34,0.0,50.0
1011.59,1145.66,0.0,50.0
1012.82,1146.14,0.0,50.0
1013.64,1146.47,0.0,50.0
1014.46,1146.79,0.0,50.0
1015.28,1147.12,0.0,50.0
1016.1,1147.44,0.0,50.0
1017.34,1147.94,0.0,50.0
1018.15,1148.27,0.0,50.0
1018.97,1148.6,0.0,50.0
1019.79,1148.92,0.0,50.0
1020.61,1149.25,0.0,50.0
1021.43,1149.58,0.0,50.0
1022.66,1150.08,0.0,50.0
1023.49,1150.41,0.0,50.0
1024.31,1150.74,0.0,50.0
1025.13,1151.07,0.0,50.0
1025.95,1151.4,0.0,50.0
1026.77,1151.73,0.0,50.0
1028,1152.22,0.0,50.0
1028.82,1152.55,0.0,50.0
1029.64,1152.88,0.0,50.0
1030.46,1153.21,0.0,50.0
1031.28,1153.54,0.0,50.0
1032.1,1153.87,0.0,50.0
1033.33,1154.36,0.0,50.0
1034.15,1154.69,0.0,50.0
1034.97,1155.03,0.0,50.0
1035.79,1155.37,0.0,50.0
1036.61,1155.7,0.0,50.0
1037.42,1156.04,0.0,50.0
1038.24,1156.38,0.0,50.0
1039.05,1156.72,0.0,50.0
1040.27,1157.24,0.0,50.0
1041.09,1157.58,0.0,50.0
1041.9,1157.92,0.0,50.0
1042.72,1158.27,0.0,50.0
1043.53,1158.61,0.0,50.0
1044.34,1158.96,0.0,50.0
1045.56,1159.48,0.0,50.0
1046.37,1159.83,0.0,50.0
1047.18,1160.18,0.0,50.0
