Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTest/daySequence1--00000.jpg;stop;706;478;718;500;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;0;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;0
dayTest/daySequence1--00001.jpg;stop;705;475;720;497;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;1;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;1
dayTest/daySequence1--00002.jpg;stop;707;476;719;494;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;2;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;2
dayTest/daySequence1--00005.jpg;stop;708;474;720;492;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;5;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;5
dayTest/daySequence1--00006.jpg;stop;707;470;722;492;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;6;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;6
dayTest/daySequence1--00007.jpg;stop;710;470;722;488;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;7;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;7
dayTest/daySequence1--00008.jpg;stop;710;468;722;486;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;8;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;8
dayTest/daySequence1--00009.jpg;stop;710;466;722;484;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;9;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;9
dayTest/daySequence1--00010.jpg;stop;712;463;724;485;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;10;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;10
dayTest/daySequence1--00013.jpg;stop;714;462;726;480;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;13;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;13
dayTest/daySequence1--00016.jpg;stop;715;458;730;480;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;16;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;16
dayTest/daySequence1--00017.jpg;stop;717;460;729;478;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;17;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;17
dayTest/daySequence1--00019.jpg;stop;720;462;732;480;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;19;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;19
dayTest/daySequence1--00023.jpg;stop;724;461;736;483;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;23;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;23
dayTest/daySequence1--00024.jpg;stop;726;458;738;476;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;24;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;24
dayTest/daySequence1--00027.jpg;stop;730;446;742;464;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;27;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;27
dayTest/daySequence1--00028.jpg;stop;732;438;744;456;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;28;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;28
dayTest/daySequence1--00029.jpg;stop;734;434;746;452;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;29;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;29
dayTest/daySequence1--00030.jpg;stop;736;434;748;452;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;30;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;30
dayTest/daySequence1--00031.jpg;stop;738;434;750;452;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;31;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;31
dayTest/daySequence1--00032.jpg;stop;740;436;752;454;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;32;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;32
dayTest/daySequence1--00033.jpg;stop;739;438;754;456;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;33;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;33
dayTest/daySequence1--00034.jpg;stop;740;441;755;463;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;34;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;34
dayTest/daySequence1--00035.jpg;stop;742;448;754;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;35;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;35
dayTest/daySequence1--00036.jpg;stop;742;450;757;468;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;36;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;36
dayTest/daySequence1--00037.jpg;stop;746;452;758;470;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;37;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;37
dayTest/daySequence1--00038.jpg;stop;748;448;760;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;38;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;38
dayTest/daySequence1--00039.jpg;stop;748;446;760;464;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;39;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;39
dayTest/daySequence1--00040.jpg;stop;750;448;762;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;40;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;40
dayTest/daySequence1--00041.jpg;stop;749;444;764;462;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;41;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;41
dayTest/daySequence1--00042.jpg;stop;752;446;764;464;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;42;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;42
dayTest/daySequence1--00043.jpg;stop;754;444;766;462;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;43;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;43
dayTest/daySequence1--00044.jpg;stop;754;444;766;462;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;44;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;44
dayTest/daySequence1--00045.jpg;stop;753;440;768;462;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;45;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;45
dayTest/daySequence1--00046.jpg;stop;756;440;768;458;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;46;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;46
dayTest/daySequence1--00047.jpg;stop;758;438;770;456;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;47;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;47
dayTest/daySequence1--00048.jpg;stop;759;436;771;454;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;48;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;48
dayTest/daySequence1--00049.jpg;stop;758;438;773;456;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;49;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;49
dayTest/daySequence1--00050.jpg;stop;760;438;772;456;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;50;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;50
dayTest/daySequence1--00051.jpg;stop;761;440;773;458;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;51;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;51
dayTest/daySequence1--00052.jpg;stop;762;440;774;458;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;52;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;52
dayTest/daySequence1--00053.jpg;stop;762;440;774;458;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;53;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;53
dayTest/daySequence1--00054.jpg;stop;762;440;774;458;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;54;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;54
